,percentage_samples,score,strategy,repetition
0,1,0.14777904328018224,random,0
1,10,0.32260820045558086,random,0
2,20,0.39806378132118453,random,0
3,30,0.43878132118451024,random,0
4,40,0.4666856492027335,random,0
5,50,0.47266514806378135,random,0
6,60,0.48234624145785876,random,0
7,70,0.4891799544419134,random,0
8,80,0.5130979498861048,random,0
9,90,0.530751708428246,random,0
10,100,0.5290432801822323,random,0
11,1,0.1483485193621868,uncertainty_sampling,0
12,10,0.33342824601366744,uncertainty_sampling,0
13,20,0.4054669703872437,uncertainty_sampling,0
14,30,0.4533029612756264,uncertainty_sampling,0
15,40,0.47522779043280183,uncertainty_sampling,0
16,50,0.48889521640091116,uncertainty_sampling,0
17,60,0.5076879271070615,uncertainty_sampling,0
18,70,0.5139521640091116,uncertainty_sampling,0
19,80,0.5219248291571754,uncertainty_sampling,0
20,90,0.5236332574031891,uncertainty_sampling,0
21,100,0.5353075170842825,uncertainty_sampling,0
22,1,0.15233485193621868,entropy_sampling,0
23,10,0.32517084282460135,entropy_sampling,0
24,20,0.4048974943052392,entropy_sampling,0
25,30,0.44931662870159456,entropy_sampling,0
26,40,0.47238041002277903,entropy_sampling,0
27,50,0.4908883826879271,entropy_sampling,0
28,60,0.5119589977220956,entropy_sampling,0
29,70,0.5242027334851936,entropy_sampling,0
30,80,0.5187927107061503,entropy_sampling,0
31,90,0.5316059225512528,entropy_sampling,0
32,100,0.5355922551252847,entropy_sampling,0
33,1,0.15176537585421412,margin_sampling,0
34,10,0.3527904328018223,margin_sampling,0
35,20,0.41315489749430523,margin_sampling,0
36,30,0.44362186788154895,margin_sampling,0
37,40,0.46583143507972663,margin_sampling,0
38,50,0.49145785876993164,margin_sampling,0
39,60,0.5065489749430524,margin_sampling,0
40,70,0.5082574031890661,margin_sampling,0
41,80,0.5159453302961275,margin_sampling,0
42,90,0.5250569476082004,margin_sampling,0
43,100,0.5273348519362187,margin_sampling,0
0,1,0.13866742596810933,random,1
1,10,0.3425398633257403,random,1
2,20,0.3969248291571754,random,1
3,30,0.4205580865603645,random,1
4,40,0.44703872437357633,random,1
5,50,0.4652619589977221,random,1
6,60,0.47636674259681094,random,1
7,70,0.4857630979498861,random,1
8,80,0.4857630979498861,random,1
9,90,0.5079726651480638,random,1
10,100,0.52249430523918,random,1
11,1,0.13895216400911162,uncertainty_sampling,1
12,10,0.3308656036446469,uncertainty_sampling,1
13,20,0.4034738041002278,uncertainty_sampling,1
14,30,0.44533029612756264,uncertainty_sampling,1
15,40,0.4675398633257403,uncertainty_sampling,1
16,50,0.48490888382687924,uncertainty_sampling,1
17,60,0.5025626423690205,uncertainty_sampling,1
18,70,0.5082574031890661,uncertainty_sampling,1
19,80,0.5170842824601367,uncertainty_sampling,1
20,90,0.5264806378132119,uncertainty_sampling,1
21,100,0.5250569476082004,uncertainty_sampling,1
22,1,0.1571753986332574,entropy_sampling,1
23,10,0.3402619589977221,entropy_sampling,1
24,20,0.40261958997722097,entropy_sampling,1
25,30,0.4379271070615034,entropy_sampling,1
26,40,0.4564350797266515,entropy_sampling,1
27,50,0.4928815489749431,entropy_sampling,1
28,60,0.49658314350797267,entropy_sampling,1
29,70,0.5065489749430524,entropy_sampling,1
30,80,0.5139521640091116,entropy_sampling,1
31,90,0.5233485193621867,entropy_sampling,1
32,100,0.525626423690205,entropy_sampling,1
33,1,0.16343963553530752,margin_sampling,1
34,10,0.3522209567198178,margin_sampling,1
35,20,0.3972095671981777,margin_sampling,1
36,30,0.4544419134396355,margin_sampling,1
37,40,0.46867881548974943,margin_sampling,1
38,50,0.4945899772209567,margin_sampling,1
39,60,0.5125284738041003,margin_sampling,1
40,70,0.4920273348519362,margin_sampling,1
41,80,0.5059794988610479,margin_sampling,1
42,90,0.518507972665148,margin_sampling,1
43,100,0.5276195899772209,margin_sampling,1
0,1,0.15176537585421412,random,2
1,10,0.3542141230068337,random,2
2,20,0.4074601366742597,random,2
3,30,0.4382118451025057,random,2
4,40,0.4498861047835991,random,2
5,50,0.47238041002277903,random,2
6,60,0.49686788154897493,random,2
7,70,0.4871867881548975,random,2
8,80,0.5150911161731208,random,2
9,90,0.5210706150341685,random,2
10,100,0.5298974943052391,random,2
11,1,0.15945330296127563,uncertainty_sampling,2
12,10,0.3451025056947608,uncertainty_sampling,2
13,20,0.41771070615034167,uncertainty_sampling,2
14,30,0.44703872437357633,uncertainty_sampling,2
15,40,0.4820615034168565,uncertainty_sampling,2
16,50,0.5034168564920274,uncertainty_sampling,2
17,60,0.5167995444191344,uncertainty_sampling,2
18,70,0.5242027334851936,uncertainty_sampling,2
19,80,0.5353075170842825,uncertainty_sampling,2
20,90,0.5415717539863326,uncertainty_sampling,2
21,100,0.5384396355353075,uncertainty_sampling,2
22,1,0.16144646924829156,entropy_sampling,2
23,10,0.3533599088838269,entropy_sampling,2
24,20,0.410876993166287,entropy_sampling,2
25,30,0.45785876993166286,entropy_sampling,2
26,40,0.47892938496583143,entropy_sampling,2
27,50,0.4814920273348519,entropy_sampling,2
28,60,0.5148063781321185,entropy_sampling,2
29,70,0.5165148063781321,entropy_sampling,2
30,80,0.5253416856492027,entropy_sampling,2
31,90,0.5404328018223234,entropy_sampling,2
32,100,0.5395785876993167,entropy_sampling,2
33,1,0.15034168564920272,margin_sampling,2
34,10,0.33570615034168566,margin_sampling,2
35,20,0.40945330296127563,margin_sampling,2
36,30,0.4447608200455581,margin_sampling,2
37,40,0.46810933940774485,margin_sampling,2
38,50,0.4977220956719818,margin_sampling,2
39,60,0.5162300683371298,margin_sampling,2
40,70,0.5108200455580866,margin_sampling,2
41,80,0.5239179954441914,margin_sampling,2
42,90,0.5296127562642369,margin_sampling,2
43,100,0.5464123006833713,margin_sampling,2
0,1,0.14493166287015946,random,3
1,10,0.34994305239179957,random,3
2,20,0.4234054669703872,random,3
3,30,0.4612756264236902,random,3
4,40,0.4609908883826879,random,3
5,50,0.4806378132118451,random,3
6,60,0.4908883826879271,random,3
7,70,0.49914578587699315,random,3
8,80,0.5054100227790432,random,3
9,90,0.5313211845102506,random,3
10,100,0.5165148063781321,random,3
11,1,0.14891799544419135,uncertainty_sampling,3
12,10,0.34538724373576307,uncertainty_sampling,3
13,20,0.42369020501138954,uncertainty_sampling,3
14,30,0.46440774487471526,uncertainty_sampling,3
15,40,0.4945899772209567,uncertainty_sampling,3
16,50,0.5113895216400911,uncertainty_sampling,3
17,60,0.5233485193621867,uncertainty_sampling,3
18,70,0.530751708428246,uncertainty_sampling,3
19,80,0.5341685649202733,uncertainty_sampling,3
20,90,0.5335990888382688,uncertainty_sampling,3
21,100,0.5128132118451025,uncertainty_sampling,3
22,1,0.15034168564920272,entropy_sampling,3
23,10,0.33712984054669703,entropy_sampling,3
24,20,0.40945330296127563,entropy_sampling,3
25,30,0.4461845102505695,entropy_sampling,3
26,40,0.48376993166287013,entropy_sampling,3
